Country,Account Name,DBA,NABP Approved Websites,Type
US,"Caring Hands Pharmacy, Inc",Dale's Pharmacy,"dalespharmacy.pharmacy
dalespharmacy.com",Pharmacy
US,Carle Foundation Hospital,"CARLE HOSPICE
CARLE HOME INFUSION
CARLE HOME CARE
CARLE MEDICAL SUPPLY
CARLE CANCER CENTER
CARLE FOUNDATION HOSPITAL
CARLE THERAPY SERVICES
CARLE FOUNDATION HOSPITAL PHARMACY
CARLE SPECIALTY PHARMACY","carle.pharmacy
carle.org",Pharmacy
US,Carpharma,Regency Medical Pharmacy,"rmp.pharmacy
regencymedicalpharmacy.com",Pharmacy
US,Catalyst Rx Pharmacy,Catalyst Rx Pharmacy,"catalystrxpharmacy.pharmacy
catalystrxpharmacy.com",Pharmacy
US,CCS Medical,,"ccsmed.pharmacy
ccsmed.com",Pharmacy
US,CD Pharmacy,"Red Rock Home Pharmacy
Red Rock Pharmacy","redrockhome.pharmacy
redrockhomepharmacy.com",Pharmacy
US,Cedar Chemists Inc,J&J Pharmacy,"jandjpharmacy.pharmacy
jandjdrugstores.com",Pharmacy
US,Centennial Pharmacy Services Incorporated,,"centennial.pharmacy
centennialpharmacy.com",Pharmacy
US,Center for Transformational Psychotherapy,,"ketaminepsychotherapy.pharmacy
ketaminepsychotherapy.com",Professional
US,Central Washington Family Medicine,,"chcw.pharmacy
chcw.org",Pharmacy
US,Charlesmead Fountain Pharmacy llc,Charlesmead Pharmacy,"Charlesmeadpharmacy.pharmacy
healthmart.com/store-details?storeId=8511",Pharmacy
US,"Chewy Pharmacy, LLC",,"chewy.pharmacy
chewy.com",Veterinary Pharmacy
US,Chinook Health,,"chinookrx.pharmacy
chinookrx.com",Pharmacy
US,Chippewa Pharmacy Inc,The Medicine Shoppe,"chippewafallsmedicineshoppe.pharmacy
chippewafalls.medicineshoppe.com",Pharmacy
US,"Choice Health Services, Inc",Choice Pharmacy,"choice.pharmacy
choicepharmacies.com",Pharmacy
US,"CHS Pharmacy Services, Inc",CarolinaCARE,"carolinacarerx.pharmacy
carolinacarerx.org",Pharmacy
US,Church Square Pharmacy,LowCost Pharmacy,"lowcostpharmacies.pharmacy
lowcostpharmacies.com",Pharmacy 
US,"Clarence Pharmacy, LLC",Clarence Pharmacy,"Clarencepharmacy.pharmacy
clarencepharmacy.net",Pharmacy
US,"Clark's Specialty Pharmacy, LLC",claRx Big Country Dermatology Pharmacy,"bigcountry.pharmacy
bigcountrypharmacy.com",Pharmacy
US,Coastline Pharmacy LLC,,"coastline.pharmacy
coastlinepharmacy.com",Pharmacy
US,"Coburn's Pharmacy, LLC",,"coburns.pharmacy
coburnspharmacy.com",Pharmacy
Canada,College of Pharmacists of British Columbia,,"bc.pharmacy
bcpharmacists.org",Boards of Pharmacy and Regulatory Agencies
US,"Collier Drug Stores, Inc.",,"collierdrug.pharmacy
collierdrug.com",Pharmacy
US,Columbia Chemists LLC,Feldman's Medical Center Pharmacy,"feldmans.pharmacy
feldmanspharmacy.com",Pharmacy
US,Community Specialty Pharmacy,DelivMeds,comsprx.pharmacy,Pharmacy
US,Cooper Drug Inc,"Golden Plains Pharmacy Services, LLC","cooperdrugstore.pharmacy
cooperdrugstore.com",Pharmacy
US,Core Veterinary Compounding Pharmacy,Core Veterinary Compounding Pharmacy,"corevetmed.pharmacy
corevetmed.com",Veterinary Pharmacy
US,Corner Drug Co.,,"cornerdrugco.pharmacy
cornerdrugco.com",Pharmacy
US,Cornerstone Pharmacy Inc,Cornerstone Pharmacy and Compounding,"compoundingatcornerstone.pharmacy
compoundingatcornerstone.com",Pharmacy
US,"Cosmetic Dermatology Center, PLC",Cosmetic Dermatology Center,"cosmetic-dermatology-center.pharmacy
schonskin.pharmacy
cosmetic-dermatology-center.com schonskin.com",Professional
Canada,Costco Wholesale Corporation,Costco Wholesale Pharmacy,"costcocanada.pharmacy
costcopharmacy.ca",Pharmacy
US,Costco Wholesale Corporation,"Costco Wholesale
Costco Pharmacy","costco.pharmacy
costco.com",Pharmacy
US,Credena Health LLC,,"credenahealth.pharmacy 
credenarx.pharmacy
credenahealth.org
credenarx.com",Pharmacy
US,"CSR Company, Inc","PetPawsRx
American Veterinary Pharmaceuticals
CSR Summitt","petsuppliesdelivered.pharmacy
petpawsrx.pharmacy
petpawsrx.com",Veterinary Pharmacy
US,Curative Pharmacy,Curative Pharmacy,"curative.pharmacy
curative.com",Pharmacy
US,Curators of the University of Missouri,Mizzou Pharmacy,"mizzoupharmacy.pharmacy
muhealth.org",Pharmacy
US,"CVS Pharmacy, Inc.",,"cvs.pharmacy 
cvs.com",Pharmacy
US,D&N Corp,Value Mart Pharmacy,"valuemartrx.pharmacy
valuemartrx.com",Pharmacy
US,Dalcoma Specialty Pharmacy LLC,,"dalcomarx.pharmacy
dalcomarx.com",Pharmacy
US,Daytona Discount Pharmacy Inc,Daytona Discount Pharmacy,"DAYTONADISCOUNT.pharmacy
https://www.facebook.com/DAYTONADISCOUNTPHARMACY/",Pharmacy
US,"Debbie's Family Pharmacy, Inc",Debbie's Family Pharmacy,"debbiesfamilyrx.pharmacy
debbiesfamilypharmacy.com",Pharmacy
US,"Dechra Veterinary Products, LLC",,"dechra-us.pharmacy
dechra-us.com",Pharmaceutical Manufacturer
US,Delaware State Board of Pharmacy,,"deboard.pharmacy 
dpr.delaware.gov/boards/pharmacy/index.shtml",Boards of Pharmacy and Regulatory Agencies
US,Devron System Inc,Simple Rx Pharmacy,"simplerx.pharmacy
simplerxpharmacy.com",Pharmacy
US,Digino's Apothecary,PersonalRX,"personalrx.pharmacy
personalrx.com",Pharmacy
US,Dimensions Health Corporation,UMMC Pharmacy at Capital Region,"ummc.pharmacy
ummc.org",Pharmacy
US,"DLP Conemaugh Memorial Medical Center, LLC",Conemaugh Memorial Medical Center,"conemaugh.pharmacy
conemaugh.org",Pharmacy
US,"Doctor Kev RX, INC",The Compounding Pharmacist,"thecompoundrx.pharmacy
thecompoundrx.com",Pharmacy
US,Don's Pharmacy,,"donsrx.pharmacy
donsrx.com",Pharmacy
US,Double Oak Mountain Pharmacy,,"doubleoakmountain.pharmacy
DoubleOakMountainRX.com",Pharmacy
US,Downtown Pharmacy Inc,Lone Pine Drug,"lonepinedrug.pharmacy
lonepinedrug.com",Pharmacy
US,Drug Mart Tallman Inc,,"drugmarts.pharmacy
drugmarts.com",Pharmacy
US,DSY Pharmacy Inc.,Ace Medical Pharmacy,"acemedicalpharmacy.pharmacy
acemedicalpharmacy.com",Pharmacy
US,Dulivuto Corp,Friendswood Health Mart Pharmacy,"friendswoodhealthmart.pharmacy
friendswoodhealthmartpharmacy.com",Pharmacy
US,"East Coast Compounding and Pharmacy, LLC",,"eastcoastcompounding.pharmacy
eastcoastcompounding.com",Pharmacy
US,East Phillips County Hospital District,MMH Hometown Pharmacy,"melissamemorial.pharmacy
melissamemorial.org",Pharmacy
US,Elements Compounding Pharmacy LLC,"Elements Compounding Pharmacy
Elements Pharmacy","elements.pharmacy
elementspharmacy.com",Pharmacy
US,Elite Beauty & Wellness Physician Assistant Corporation,,"elitebeautyandwellnesspacorp.pharmacy
elitebeautyandwellnesspacorp.com",Professional
US,EllieMD LLC,,"elliemd.pharmacy 
elliemd.com",Professional
US,Elm Pharmacy,,"elm.pharmacy
elmpharmacy.biz",Pharmacy
US,Emory Centre Pharmacy,,"emory.pharmacy
emorycentrepharmacy.com",Pharmacy
US,EndoDerm Laboratories LLC,,"cutocin.pharmacy
cutocin.com",Pharmacy
US,"Entirelypets Pharmacy, LLC",,"entirelypetspharmacy.pharmacy
entirelypetspharmacy.com",Veterinary Pharmacy
US,"EP Medical Equipment, Inc.","EP Medical Equipment Pharmacy
EP LTC Pharmacy","eppharmacy.pharmacy
eppharmacy.com",Pharmacy
US,Epiphany Compounding,,"epiphany.pharmacy
epiphanyaz.com",Pharmacy
US,Epiq Scripts,,"epiqscripts.pharmacy
epiqscripts.com",Pharmacy
US,Eric's RX LLC,Eric's RX Shoppe,"erics.pharmacy
ericsrx.com",Pharmacy
US,ESI Mail Pharmacy Service Inc ,Express Scripts ,"express-scripts.pharmacy
cigna.pharmacy
teldrug.pharmacy
express-scripts.com 
my.cigna.com",Pharmacy
US,EVERSPRING LLC,,"everspring.pharmacy
everspringrx.com",Pharmacy
US,Evolve Medical Services PC San Diego LLC,,"evolvemedicalservicessd.pharmacy
evolvemedicalservicessd.com",Professional
US,Exclusivet LLC,Ourpetsrx,"ourpetsrx.pharmacy
ourpetsrx.com",Veterinary Pharmacy
US,ExperienceCare Pharmacy LLC,ExperienceCare Specialty Pharmacy,"ecspecialtyrx.pharmacy
ecspecialtyrx.com",Pharmacy
US,"Express Scripts Specialty Distribution Services, Inc.
",,"essds.pharmacy
essds.com",Pharmacy
US,"Extended Living Pharmacy, LLC",ELP,"extendedpharmacy.pharmacy
extendedpharmacy.com",Pharmacy
US,Falcon6 Pharmacy #1 LLC,Broad Creek Pharmacy,"broadcreekrx.pharmacy
facebook.com/broadcreekpharmacy",Pharmacy
US,Family Fare LLC,"Family Fare
VG's
D&W
Forest Hills Pharmacy","shopfamilyfare.pharmacy
shopfamilyfare.com",Pharmacy
US,"FBN Inputs, LLC",FBN Direct,"fbn.pharmacy
fbn.com",Veterinary Pharmacy
US,"FFP, LLC",Biomatrix Specialty Pharmacy,"biomatrix.pharmacy
biomatrixsprx.com",Pharmacy
Canada,Fisher Pharmacy Ltd,,"vanier.pharmacy
vanierpharmacy.ca",Pharmacy 
US,FISHHAT INC,Medicine Chest Pharmacy,"themedchest.pharmacy
themedchest.com",Pharmacy
US,Flatirons Family Pharmacy Inc,Flatirons Family Pharmacy,"flatironsrx.pharmacy
flatironsrx.com",Pharmacy
US,Florida Cancer Specialists,"Rx To Go, LLC","rxtogo.pharmacy
flcancer.com",Pharmacy
US,Follansbee Pharmacy Inc,,"tsmg.pharmacy
tristatemedicalgroup.com",Pharmacy
US,"Food Lion, LLC",,"foodlion.pharmacy
foodlion.com",Pharmacy
US,Food Merchants LLC,"Alps Pharmacy
Alps Specialty Pharmacy
Alps Long Term Care Pharmacy
Alps Health
Alps Home Medical Equipment","alps.pharmacy
alpspharmacy.com",Pharmacy
US,"Fort Worth Pharmacy, LLC",Fort Worth Pharmacy,"fwpharm.pharmacy
fwpharm.com",Pharmacy
US,Fortis Holding Company,Specialty Medical Drugstore,"gogomeds.pharmacy
gogomeds.com",Pharmacy
US,"Frank L. Stile M.D., PC.",Dr. Stile,"drstile.pharmacy
lasvegasskinpros.pharmacy
drstile.com
lasvegasskinpros.com",Professional
US,Freedom Pharmacy LLC,Freedom Pharmacy,"freedompharmacyrx.pharmacy
freedompharmacyrx.com",Pharmacy
US,Fresenius Medical Care Rx,,"freseniusrx.pharmacy
freseniusrx.com",Pharmacy
US,Fulton Pharmacy,Whitesell Pharmacy,"whitesells.pharmacy
whitesells.com",Pharmacy
US,"G&E Ventures, Inc",Granite Pharmacy Health Solutions,"granite.pharmacy
granitepharmacy.com",Pharmacy
US,"G&M of Oxford, Inc",,"gandm.pharmacy
gandmpharmacy.com",Pharmacy
US,Galleria Medical Pharmacy,,"galleriamed.pharmacy
galleriamedpharmacy.com",Pharmacy
US,"Gateway Pharmacy, LLC","Gateway Pharmacy North
Gateway Pharmacy South
Gateway Pharmacy Sunrise
Gateway Pharmacy Mandan
Gateway Pharmacy Labs","gatewaypharmacy.pharmacy
gatewaypharmacy.com",Pharmacy
US,"Gaughn's Drug Store, Inc",Gaughn's Drug Store,"gaughns.pharmacy
gaughns.com",Pharmacy
US,"Genesis Apothecary, Inc.",Rosh Pharmacy,"rosh.pharmacy
roshpharmacyservices.com",Pharmacy
US,Genscripts Pharmacy,,"genscripts.pharmacy
genscripts.com",Pharmacy
US,"Gentry Health Services, Inc.",Gentry Health Services ,"gentryhealthservices.pharmacy
gentryhealthservices.com",Pharmacy
US,"Geritom Med, Inc.",Geritom Medical,"geritommedical.pharmacy
geritommedical.com",Pharmacy
US,Gibson Apothecary LLC,ALVA Pharmacy,"alva.pharmacy
facebook.com/people/ALVA-Pharmacy/61568695864181/",Pharmacy
US,"Gifthealth, Inc",Gifthealth Pharmacy,"gifthealth.pharmacy
gifthealth.com",Pharmacy
US,Glenview Professional Pharmacy INC,,"glenviewrx.pharmacy
glenviewrx.com",Pharmacy
US,Globe Drug Store,,"globedrugstore.pharmacy
globedrugstore.net",Pharmacy
US,GNR PLLC,PHD Pharmacy,"phdcleveland.pharmacy
phdcleveland.com",Pharmacy 
US,"Gold Country Compounding, LLC",Gold Country Compounding,"goldcountry.pharmacy
goldcountrycompounding.com",Pharmacy
US,"Golden Gate Pharmacy Services, Inc",Golden Gate Pharmacy Services,"ggprx.pharmacy
ggprx.com",Pharmacy
US,Good Life Health Services Inc,Good Life Discount Pharmacy,"goodlife.pharmacy
goodliferx.com",Pharmacy
US,Good Pharma Compounding Pharmacy,,"goodpharma.pharmacy
goodpharma.com",Pharmacy
US,Goodrich Pharmacy Inc,Goodrich Pharmacy LTC,"goodrich.pharmacy
goodrichpharmacy.com",Pharmacy 
US,"GoodRx, Inc.",,"goodrx.pharmacy
goodrx.com",Resources and Referral Sites
US,Grandhi LLC,Medical Arts Pharmacy,"medicalarts.pharmacy
medicalartspharmacy.org",Pharmacy
US,Granger Genetics LLC,Granger Pharmacy,"grangerrx.pharmacy
grangerrx.com",Pharmacy
US,Grassy Sprain Pharmacy Inc.,,"grassysprainpharmacy.pharmacy
grassysprainpharmacy.com",Pharmacy
US,GREAT RX PHARMACY,,"greatrx.pharmacy
greatrxpharmacy.com",Pharmacy
US,Green Oaks Pharma Inc,DFW Wellness Pharmacy,"dfwwellness.pharmacy
dfwwellnesspharmacy.com",Pharmacy
US,Guidepoint Pharmacy,,"guidepoint.pharmacy
guidepointpharmacyrx.com",Pharmacy
US,Guy brewer pharmacy Inc,,"guybrewerpharmacy.pharmacy
guybrewerpharmacy.com",Pharmacy
US,H&N Pharmacy LLC,University Pharmacy of Coral Gables,"medipond.pharmacy
medipond.com",Pharmacy
US,Hannaford Bros. Co. LLC,,"hannaford.pharmacy
hannaford.com",Pharmacy
US,"Hardy Paw Rx, Inc.",,"hardypaw.pharmacy
hardypaw.com",Veterinary Pharmacy
US,Harleyville Drug LLC,Harleyville Drug,"harleyvilledrug.pharmacy
harleyvilledrug.com",Pharmacy
US,Harper's Pharmacy Inc.,"AmeriPharma
AmeriPharma Specialty Care
AmeriPharma Infusion Center
MedBox","medbox.pharmacy
ameripharma.pharmacy
ameripharmaspecialty.pharmacy
medbox.com
ameripharma.com
ameripharmaspecialty.com",Pharmacy
US,Harrold's Pharmacy,,"harrolds.pharmacy
harroldspharmacy.com",Pharmacy
US,Hartig Drug Company,,"hartigdrug.pharmacy
hartigdrug.com",Pharmacy
US,Hartsdale Drug Inc,Hartdale Pharmacy,"hartsdalerx.pharmacy
hartsdalerx.com",Pharmacy
US,"Hayes Inspirations, LLC",Mountain Care Pharmacy,"mountaincare.pharmacy
mtncarerx.com",Pharmacy
US,HCA Healthcare,Mission Pharmacy- Employee Mail Order,"missionhealth.pharmacy
missionhealth.org",Pharmacy
US,"Healthcare Pharmacy, Inc",,"healthcarerx.pharmacy
healthcarerxbooks.com",Pharmacy
US,Healthcare Ventures Group LLC,,"340bpharm.pharmacy
340bpharm.com",Pharmacy
US,"HealthDirect Institutional Pharmacy Services, Inc.",,"hdrxservices.pharmacy
hdrxservices.com",Pharmacy
US,Healthi Rx,,"healthi.pharmacy
healthi.com",Pharmacy
Canada,HealthPRO Procurement Services Inc.,,"healthpro.pharmacy
healthprocanada.com",Professional
US,HEALTHSTAT RX LLC,,"curanthealth.pharmacy
curanthealth.com ",Pharmacy
